dataset,recipe_key,ResultDir
summary_global,2_experts/mixtureofaggregators_separate_topk1_localheadfalse_router_arch_linear,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk1_localheadFalse_router_arch_linear_seed38
summary_global,2_experts/mixtureofaggregators_separate_topk1_localheadfalse_router_arch_mlp,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk1_localheadFalse_router_arch_mlp_seed38
summary_global,2_experts/mixtureofaggregators_separate_topk1_localheadfalse_router_arch_transformer,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk1_localheadFalse_router_arch_transformer_seed38
summary_global,2_experts/mixtureofaggregators_separate_topk1_localheadtrue_router_arch_linear,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk1_localheadTrue_router_arch_linear_seed38
summary_global,2_experts/mixtureofaggregators_separate_topk1_localheadtrue_router_arch_mlp,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk1_localheadTrue_router_arch_mlp_seed38
summary_global,2_experts/mixtureofaggregators_separate_topk1_localheadtrue_router_arch_transformer,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk1_localheadTrue_router_arch_transformer_seed38
summary_global,2_experts/mixtureofaggregators_separate_topk2_localheadfalse_router_arch_linear,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk2_localheadFalse_router_arch_linear_seed38
summary_global,2_experts/mixtureofaggregators_separate_topk2_localheadfalse_router_arch_mlp,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk2_localheadFalse_router_arch_mlp_seed38
summary_global,2_experts/mixtureofaggregators_separate_topk2_localheadfalse_router_arch_transformer,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk2_localheadFalse_router_arch_transformer_seed38
summary_global,2_experts/mixtureofaggregators_separate_topk2_localheadtrue_router_arch_linear,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk2_localheadTrue_router_arch_linear_seed38
summary_global,2_experts/mixtureofaggregators_separate_topk2_localheadtrue_router_arch_mlp,2_experts/Results_5fold_testfixed_uni_features_MixtureOfAggregators_separate_topk_topk2_localheadTrue_router_arch_mlp_seed38
